,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
244552,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER P E (SECONDARY),,Education Jobs Program,,,1.0,,,TEACHER,28734.5,Instruction - Regular,School Federal Projects,EDUCATION JOBS FUND
29899,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Teacher Advancement Program (TAP),,,0.0,,,TIME CARD CLASSIFIED Addl,463.67271979099996,Support - TAP,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
218428,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Printing and Binding,,Support Services - Administration,,,,Contracted Craft Or Trade Services *,,,Education Services*,,,-70445.59000000001,,Title I - Disadvantaged Children/Targeted Assistance,ADMINISTRATION 
106560,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,COUNSELOR-HIGH                ,,,,School ,0.2125,GUIDANCE SERVICES             ,,,16118.8851059,,GENERAL FUND                  ,DIFFERENTIATED ACCTBLTY - SAI 
75052,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Special Education Instruction,,,0.0,,,Career Ladder III/Ext Learning,3499.8,Instruction - SPED,General Purpose School,
326515,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,,,INSTRUCTION,,,2616.38,ARRA - Title I Grants to LEAs,Title I,
84653,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.004310344827590001,TITLE I,,PROFESSIONAL-INSTRUCTIONAL,129.14498492500002,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
41697,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,"""Title  Part A Improving Basic Programs""",TEACHER SUBSTITUTE POOL,,Regular Salary,Salaries And Wages For Substitute Teachers,School ,,Instruction,Instruction And Curriculum,NON DEGREED SUBSTITUTE,176.117974138,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",REGULAR PAY
321044,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Head Start,"CLASSROOM AIDE,PRE-K BILINGUAL",,Regular Salary,Salaries Or Wages For Support Personnel,School ,0.5,Instruction,Instruction And Curriculum,AIDE,10754.5368044,PRE-K,Head Start,REGULAR PAY
347519,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,16.150000000000002,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
302479,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian - PT -  Jobs ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",122.62,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
89732,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Other Instruction,,,,Personal Services - Employees Salaries And Wages,,,Summer Remediation *,,,3234.88,,Title I - Disadvantaged Children/Targeted Assistance,SCHOOLWIDE-AAPS 
363069,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Support Services - Instructional Staff,,,,Purchased Services,,,Instructional Staff Training Services *,,,45394.71000000001,,Title  School Improvement Stimulus G, SI COMP  
338720,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,EARLY EDUCATION,FEDERAL GDPG FUND - FY ,"Teacher, Elementary ",Turnaround,,,,,HEAD START,,PROFESSIONAL-INSTRUCTIONAL,250.46,EARLY CHILDHOOD,,REGULAR INSTRUCTION
286859,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,BUS DRIVER                    ,,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,17.828,,GENERAL FUND                  ,
8167,Aides Compensation,Instruction,School on Central Budgets,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION INSTRUCTION,LOCAL,"EDUCATIONAL AIDE,SPED,70H",,,,SCHOOL SUPPORT,1.0,,,,33667.4473679,,,
423061,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Teacher Secondary (Middle) ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,63.74,OTHER INDUSTRIAL ARTS/TECH ED,,VOCATIONAL EDUCATION
98822,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,"TEACHER,ELEMENTARY",,,,,1.0,,,,121444.653589,,,
180045,Substitute Compensation,Instruction,School Reported,School,Unspecified,Instructional Coach,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Facilitator,Elem ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,12.29176,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
96572,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,LEGAL SERVICES,GENERAL FUND,Deputy General Counsel ,n/a,,,SCHOOL ATTORNEY,,NON-PROJECT,,ADMINISTRATOR,3928.13968,LEGAL SERVICES,,GENERAL ADMINISTRATION
416239,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,"TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,71.7692755966,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED DAYS
394726,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,504.24,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
112270,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,PARA PROFESSIONAL             ,,,"TEACHER ASSISTANT, ASD        ",,,,School ,0.589050560033,EXCEPTIONAL                   ,,,13354.1707234,,GENERAL FUND                  ,
301930,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,transportation - Second Runs,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,Transportation Department,BUS DRIVER,103.58,Undistributed,General Operating Fund,EXTENDED DAYS
100319,Instructional Materials & Supplies,Instruction,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,,,,,Computers for instruction purposes for students w/ disabilit,Capital Supplies ( Unit Cost  and > ,School ,,"""Guidance, Counseling And Evaluation Services""",Instruction And Curriculum,,971.45,Services To Students With Disabilities (Special Education),Idea Part B Formula,
32220,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",n/a,,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,,UNDESIGNATED,61.27,UNDESIGNATED,,UNDESIGNATED
10379,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Textbooks,,Special Instruction,,,,Textbooks *,,,Disadvantaged Youth *,,,-5308.24,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I BLDG ALLOC
174036,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Awards and Prizes,,Special Instruction,,,,Awards And Prizes *,,,Disadvantaged Youth *,,,-2079.52,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I BLDG ALLOC
94092,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Extracurricular Supp,,,TEXTBOOK INVENTORY,,,,,,,,,1525.41,,,
370142,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",COMMUNICATION,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,25192.15,Misc,General Fund,
217379,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Instruction And Curriculum Development Services *,,,399.92,,Special Trust,ITEMN VISUAL ART PROGRAM
381712,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Secretary I ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-169.6,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
307512,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,"TEACHER,WAE",,,,ARTS CENTER,0.5,,,,38029.66524719999,,,
63087,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Textbooks,,Support Services - Instructional Staff,,,,Textbooks *,,,Instruction And Curriculum Development Services *,,,-1023.45,,Special Trust,ITEMS-VARIOUS GRANTS
309093,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,INTERFUND                     ,,,,,,,FINANCE & PAYROLL             ,,TRANSFER OF FUNDS             ,,,4737.83,,COP                       ,
129924,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Multi Site ",Regular,,,,1.01557007287,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",37770.967477,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
191868,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER CERTIFIED               ,,,SOCIAL WORKER                 ,,,,STUDENT SERVICES              ,0.0499973950152,ATTENDANCE AND SOCIAL WORK    ,,,2526.84908056,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
415439,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,, MILL LEVY,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,109.86793846799999,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
248483,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,"PRINTING, DUPLICATING, ETC",PROFESSIONAL DEVELOPMENT PROGRAMS,LOCAL,,,,,,,,,OTHER SERVICES & CHARGES,-0.45,INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,
371321,Facilities & Maintenance,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,MISCELLANEOUS,,,,,,,MAINTENANCE AND OPERATING,,,55.11,Misc,General Fund,
269175,Professional Development,ISPD,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, BUSINESS TECH ED     ",,,,FED COMPENSATORY ED PROG      ,,INST STAFF TRAINING SVCS      ,,,469.81,,FED THRU STATE-CASH ADVANCE   ,TITLE I SCHOOL IMPROVEMENT  
160276,Instructional Materials & Supplies,Instruction,School on Central Budgets,Non-School,Poverty,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating,General Supplies,SUPPLIES & MATERIALS,,,,Held Funds,Capital Supplies ( Unit Cost  and > ,Administration - No Description Provided,,General Administration,Instruction And Curriculum,,6389.97,Accelerated Education,"""Title  Part A Improving Basic Programs""",
310866,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,2633.2129600000003,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
153933,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Sec/Clerk/Other Admin,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Professional Asst II ,,,,,1.0,,,PROF ASST  ,29797.13,Misc,General Fund,
73993,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Community Services,,,,Purchased Services,,,Other Community Services *,,,4358.31,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PARENT-PUBLI
238679,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Special Instruction,,,,Supplies And Materials,,,Other Special *,,,12154.75,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I 
252061,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRACTOR SERVICES,BOND EXPENDITURES,BOND,(blank),Regular,,,,,RGN  GOB,,UNDESIGNATED,16985.51,OPERATION AND MAINT OF PLANT,,OPERATION AND MAINT OF PLANT
151443,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,3951.10904,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
377945,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,110.35793846799999,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
294956,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Classroom Supplies,,Regular Instruction,,,,General Supplies *,,,High School,,,3600.93,,General,SCHOOL BASED MANAGEMENT
260905,Other Compensation,Instruction,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,SUNDAY PAY,PUBLIC UTILITIES,LOCAL,,,,,,,,,ADDITIONAL GROSS PAY,12176.47,NON-INSTRUCTIONAL SUPPORT SERVICES,LOCAL FUND,
285984,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, REGULAR",,Parent Literacy,Extra Duty Wages,School ,,Community Services,Instruction And Curriculum,TEACHER BACHELOR,700.58,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,MISCELLANEOUS 
262936,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Student Success Initiative Grant,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,51.823356266800005,Basic Educational Services,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
303225,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",326.62336,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
31147,Curriculum Development,ISPD,Shared Services,Non-School,Poverty,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER LEARNING & LEADERSHIP,ARRA - STIMULUS,"Teacher, Short Term Sub ",n/a,,,MATH / SCIENCE,0.004310344827590001,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,110.097938468,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
69965,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Bus Driver  to  Yrs ,n/a,,,GARAGE,,NON-PROJECT,,UNDESIGNATED,-43.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
125384,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,289.68,PRIMARY GRADES PROGRAM ,General Fund,
98141,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Sr Quality Assur Analyst ,n/a,,,CUSTOMER RELATIONS MANAGEMENT,,NON-PROJECT,,UNDESIGNATED,-131.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
27033,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Bus Driver  to  Yrs ,n/a,,,GARAGE,,NON-PROJECT,,UNDESIGNATED,-36.38,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
46666,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,1.0,Instruction,All Campus Payroll,TEACHER BACHELOR,54686.1385195,Basic Educational Services,General Operating Fund,REGULAR PAY
189536,Career & Academic Counseling,NO_LABEL,School Reported,School,NO_LABEL,Guidance Counselor,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Counselor - Elementary,,,,,1.0,,,COUNSELOR ,117502.85,PRIMARY GRADES PROGRAM ,General Fund,
22756,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,PERSONNEL SERVICES,GENERAL FUND,"Dir, Human Resources ",n/a,,,HUMAN RESOURCES,1.0000243111799998,NON-PROJECT,,ADMINISTRATOR,105809.79710399998,STAFF SERVICES,,CENTRAL
238052,Data Processing & Information Services,Business Services,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,COPYING,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,7407.4,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
185566,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,FEDERAL GDPG FUND,"Teacher, Secondary (High) ",n/a,,,HUMANITIES,,SECONDARY TEACHER ENHANCEMENT,,PROFESSIONAL-INSTRUCTIONAL,141.72431999999995,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
312990,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Long Term Sub Elem ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,153.78,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
5175,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,,INSTRUCTION,,,1348.97,Misc,Schoolwide Schools,
324580,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,EXCEPTIONAL                   ,,,117.65,,GENERAL FUND                  ,
371487,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,903.77,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
172270,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Sec/Clerk/Other Admin,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Professional Asst II ,,,,,1.0,,,PROF ASST  ,32638.52,Misc,General Fund,
123535,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Elementary ",n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,210.27,STAFF SERVICES,,CENTRAL
330253,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"CLERICAL, BUS.& PAYROLL DEPT.",,,Extra Duty Pay/Overtime For Support Personnel,Administration - No Description Provided,,General Administration,Business And Payroll Departments,CO CLERICAL,533.58,Undistributed,General Operating Fund,OVERTIME
376832,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TRANSPORTATION,GENERAL FUND,Bus Driver  to  Yrs ,n/a,,,,0.435933858692,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",14817.017098700002,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
376472,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Support Services--Pupils,,,,Personal Services - Employees Salaries And Wages,,,Audiology Services,,,131502.02,,"IDEA, Part B Special Education, Education of Handicapped Children",IDEA-B 
22300,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,5.96,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
419747,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.00215517241379,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,54.633969234,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
419737,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst I ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",190.43,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
198258,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,28.62,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
205206,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",CONSULTANT SERVICES,ADULT VOC ED OPPORTUNITY,ITEMGB - STATE GDPG FUND,(blank),Alternative,,,OPPORTUNITY SCHOOL,,NON-PROJECT,,UNDESIGNATED,835.54,ITEMGB - HEALTH OCCUPATIONS,,EDUCATION FOR ADULTS
